Orientation Trunk AP,Orientation Thigh AP,Orientation Shank AP,Orientation Trunk ML,Orientation Thigh ML,Orientation Shank ML,Angle Hip,Angle Knee,Angle Ankle,Hyperextend Hip,Hyperextend Knee,Ang Velocity Knee,Ang Velocity Hip,Ang Velocity Ankle,STS Phase,Horiz Disp,Verti Disp,Horiz Vel,Verti Vel,Trunk Jerk - Ang,Thigh Jerk - Ang,Shank Jerk - Ang,Tri Osc,,
-7.61222,-72.99531,21.91505,7.45121,60.00000,3.63944,65.38309,51.08026,0.00000,0.00000,0.00000,0.01019,0.02399,0.00746,0.00000,0.33431,0.61442,0.01050,0.01807,0.08774,1.70561,0.73278,0.11000,,
-7.65475,-73.00025,21.91330,7.42940,60.00000,3.66531,65.34550,51.08696,0.00000,0.00000,0.00000,0.00670,0.03758,0.00175,0.00000,0.33419,0.61435,0.01202,0.00679,0.19835,1.07871,0.66819,0.12000,,
-7.67713,-72.98376,21.91107,7.39856,60.00000,3.69374,65.30663,51.07269,0.00000,0.00000,0.00000,0.01427,0.03888,0.00223,0.00000,0.33413,0.61446,0.00526,0.01063,0.30584,0.75380,0.38442,0.13000,,
-7.69482,-72.96600,21.90599,7.36193,60.00000,3.71759,65.27118,51.06001,0.00000,0.00000,0.00000,0.01267,0.03545,0.00508,0.00000,0.33409,0.61458,0.00461,0.01259,0.75659,0.07145,0.02706,0.14000,,
-7.69513,-72.94238,21.90705,7.34440,60.00000,3.74534,65.24725,51.03532,0.00000,0.00000,0.00000,0.02469,0.02393,0.00106,0.00000,0.33411,0.61475,0.00188,0.01695,0.92078,0.29653,0.24488,0.15000,,
-7.69306,-72.92199,21.91738,7.34260,60.00000,3.76632,65.22893,51.00461,0.00000,0.00000,0.00000,0.03072,0.01832,0.01033,0.00000,0.33415,0.61488,0.00448,0.01267,0.37237,1.42924,0.17268,0.16000,,
-7.69228,-72.91273,21.94509,7.34662,60.00000,3.78283,65.22044,50.96764,0.00000,0.00000,0.00000,0.03697,0.00848,0.02771,0.00000,0.33423,0.61489,0.00749,0.00047,0.27680,0.93151,0.34385,0.17000,,
-7.73014,-72.91190,21.97529,7.36449,60.00000,3.78938,65.18176,50.93661,0.00000,0.00000,0.00000,0.03103,0.03869,0.03020,0.00000,0.33420,0.61479,0.00275,0.00954,0.27532,0.33044,0.11786,0.18000,,
-7.78934,-72.91135,22.01272,7.37658,60.00000,3.79129,65.12200,50.89863,0.00000,0.00000,0.00000,0.03798,0.05975,0.03743,0.00000,0.33413,0.61466,0.00668,0.01327,0.11508,0.13591,0.12374,0.19000,,
-7.80010,-72.91029,22.05108,7.38034,60.00000,3.78963,65.11019,50.85921,0.00000,0.00000,0.00000,0.03941,0.01181,0.03836,0.00000,0.33419,0.61457,0.00637,0.00898,0.11215,0.12882,0.05553,0.20000,,
-7.82167,-72.91020,22.08798,7.38474,60.00000,3.79101,65.08853,50.82223,0.00000,0.00000,0.00000,0.03699,0.02166,0.03690,0.00000,0.33423,0.61446,0.00309,0.01029,0.10906,0.12186,0.05444,0.21000,,
-7.83427,-72.90883,22.12568,7.38753,60.00000,3.79150,65.07455,50.78314,0.00000,0.00000,0.00000,0.03909,0.01398,0.03771,0.00000,0.33428,0.61438,0.00575,0.00879,0.10584,0.11504,0.05325,0.22000,,
