-0.123791,0.95068,0.126283,1.08125,-0.428429,0.0210416,-386.753,-65.4265,-138.374,
-0.131908,0.954664,0.126329,-1.20247,-0.434025,0.10862,-386.973,-64.4476,-138.319,
-0.133982,0.951062,0.125996,-3.05499,-0.370944,0.427431,-386.764,-65.3597,-138.349,
-0.132988,0.946015,0.125306,-3.01607,-0.0340644,0.620982,-386.962,-64.512,-138.343,
-0.133575,0.937532,0.123136,-2.84859,0.490214,0.521479,-386.774,-65.2976,-138.327,
-0.132428,0.934249,0.121143,-1.89836,0.836585,0.614874,-386.952,-64.5718,-138.363,
-0.133264,0.935728,0.121099,-1.868,0.84818,0.527415,-386.784,-65.2402,-138.309,
-0.132482,0.934328,0.121138,-1.89741,0.837655,0.609117,-386.942,-64.6268,-138.379,
-0.133213,0.935651,0.121103,-1.86898,0.847163,0.532986,-386.794,-65.1877,-138.295,
-0.12903,0.93843,0.127378,-0.342628,0.415529,0.603737,-385.14,-73.2105,-136.986,
-0.123572,0.956129,0.127911,-0.176976,0.042383,0.34851,-384.849,-74.4382,-136.752,
-0.122767,0.957826,0.127167,-1.01338,0.0410142,0.275372,-385.124,-73.2923,-136.99,
-0.123517,0.957955,0.127634,-0.923777,0.0418894,0.225315,-384.865,-74.3592,-136.749,
-0.125796,0.95785,0.127189,-1.24949,0.0414689,0.271086,-385.108,-73.3686,-136.992,
-0.125834,0.950347,0.127613,-2.08057,-0.476451,0.229406,-384.88,-74.2857,-136.748,
-0.125195,0.942075,0.127852,-2.21577,-0.522493,0.267189,-385.093,-73.4392,-136.991,
-0.125797,0.942093,0.12835,-1.67191,-0.457119,0.247701,-384.894,-74.2179,-136.749,
-0.12494,0.942093,0.127939,-1.7557,-0.496151,0.27957,-385.08,-73.5041,-136.989,
-0.125735,0.942602,0.128327,-1.04237,-0.386516,0.251093,-384.908,-74.1559,-136.752,
-0.125291,0.948107,0.127669,-1.41667,-0.487331,0.276362,-385.067,-73.5633,-136.986,
-0.13049,0.95545,0.12291,-1.43395,-1.13902,0.217647,-390.299,-89.4599,-138.162,
-0.130243,0.955706,0.122157,-1.62776,-1.42861,0.204589,-390.917,-90.354,-138.513,
-0.129055,0.949028,0.124387,-1.77423,-1.68752,-0.0231678,-390.333,-89.4745,-138.173,
-0.122738,0.945678,0.128227,-1.74763,-1.76707,-0.210769,-390.883,-90.3374,-138.502,
-0.118268,0.939567,0.136768,-1.60619,-1.63373,-0.337173,-390.366,-89.493,-138.184,
-0.116651,0.938605,0.136607,-1.39008,-1.54583,-0.471301,-390.852,-90.3173,-138.49,
-0.115131,0.939493,0.131499,-1.283,-1.31043,-0.529902,-390.396,-89.5144,-138.196,
-0.115077,0.939085,0.1309,-1.24744,-1.36633,-0.52877,-390.822,-90.2946,-138.478,
-0.11511,0.943488,0.125509,-1.28195,-0.913035,-1.08282,-390.425,-89.538,-138.208,
-0.118831,0.94257,0.127135,-1.4236,-1.32669,-1.34575,-390.794,-90.2702,-138.466,
